Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Test Triangulo,,,,01-04-2025 19:10:53,01-04-2025 19:11:10,"16,975s",PASSED
"DATA BINDING - {""ladoC"":""5"",""ladoB"":""4"",""ladoA"":""3""}",,,,,,,
"startApplication(""/Users/danielafeoli/Downloads/TestingAvanzadoApp11.apk"", true)",,,,01-04-2025 19:10:53,01-04-2025 19:11:01,"7,659s",PASSED
"tap(findTestObject(""Object Repository/TestUTN_Clase25Abr/android.widget.Button - Triangulo""), 0)",,,,01-04-2025 19:11:01,01-04-2025 19:11:01,"0,416s",PASSED
"setText(findTestObject(""TestUTN_Clase25Abr/android.widget.EditText (1)""), ""2"", 0)",,,,01-04-2025 19:11:01,01-04-2025 19:11:04,"2,375s",PASSED
"setText(findTestObject(""TestUTN_Clase25Abr/android.widget.EditText (2)""), ""3"", 0)",,,,01-04-2025 19:11:04,01-04-2025 19:11:05,"1,631s",PASSED
"setText(findTestObject(""TestUTN_Clase25Abr/android.widget.EditText (3)""), ""2"", 0)",,,,01-04-2025 19:11:05,01-04-2025 19:11:07,"1,672s",PASSED
"tap(findTestObject(""Object Repository/TestUTN_Clase25Abr/android.widget.Button - Calcular""), 0)",,,,01-04-2025 19:11:07,01-04-2025 19:11:08,"0,594s",PASSED
"verifyElementText(findTestObject(""Object Repository/TestUTN_Clase25Abr/android.widget.EditText - S, es un tringulo""), ""Sí, es un triángulo"")",,,,01-04-2025 19:11:08,01-04-2025 19:11:08,"0,719s",PASSED
closeApplication(),,,,01-04-2025 19:11:08,01-04-2025 19:11:10,"1,889s",PASSED
,,,,,,,
Test Cases/Test Triangulo,,,,01-04-2025 19:11:10,01-04-2025 19:11:26,"15,874s",PASSED
"DATA BINDING - {""ladoC"":"""",""ladoB"":"""",""ladoA"":""""}",,,,,,,
"startApplication(""/Users/danielafeoli/Downloads/TestingAvanzadoApp11.apk"", true)",,,,01-04-2025 19:11:10,01-04-2025 19:11:17,"6,796s",PASSED
"tap(findTestObject(""Object Repository/TestUTN_Clase25Abr/android.widget.Button - Triangulo""), 0)",,,,01-04-2025 19:11:17,01-04-2025 19:11:18,"0,621s",PASSED
"setText(findTestObject(""TestUTN_Clase25Abr/android.widget.EditText (1)""), ""2"", 0)",,,,01-04-2025 19:11:18,01-04-2025 19:11:20,"1,983s",PASSED
"setText(findTestObject(""TestUTN_Clase25Abr/android.widget.EditText (2)""), ""3"", 0)",,,,01-04-2025 19:11:20,01-04-2025 19:11:21,"1,629s",PASSED
"setText(findTestObject(""TestUTN_Clase25Abr/android.widget.EditText (3)""), ""2"", 0)",,,,01-04-2025 19:11:21,01-04-2025 19:11:23,"1,622s",PASSED
"tap(findTestObject(""Object Repository/TestUTN_Clase25Abr/android.widget.Button - Calcular""), 0)",,,,01-04-2025 19:11:23,01-04-2025 19:11:24,"0,624s",PASSED
"verifyElementText(findTestObject(""Object Repository/TestUTN_Clase25Abr/android.widget.EditText - S, es un tringulo""), ""Sí, es un triángulo"")",,,,01-04-2025 19:11:24,01-04-2025 19:11:24,"0,690s",PASSED
closeApplication(),,,,01-04-2025 19:11:24,01-04-2025 19:11:26,"1,894s",PASSED
